text,intent
paal kittaya,AVAILABILITY_CHECK
drumstick available na sollunga,AVAILABILITY_CHECK
what is the price of brinjel,PRICE_ENQUIRY
what is the rate of vengayam,PRICE_ENQUIRY
thenga irukkuma,AVAILABILITY_CHECK
tamoto stock iruka,AVAILABILITY_CHECK
hw much is moru,PRICE_ENQUIRY
egss rate enna,PRICE_ENQUIRY
cost of chilli powder,PRICE_ENQUIRY
do you keep papaya,AVAILABILITY_CHECK
tamoto evlo,PRICE_ENQUIRY
idli rice tharuveenga,AVAILABILITY_CHECK
surf excel and chana dal stock iruka,MULTIPLE_ITEMS
ty,THANKS
lizol rate,PRICE_ENQUIRY
brinjel available pa,AVAILABILITY_CHECK
is sugar availabl,AVAILABILITY_CHECK
do you sell brinjel,AVAILABILITY_CHECK
paneer rate,PRICE_ENQUIRY
is atta availabl,AVAILABILITY_CHECK
any cream avalaible,AVAILABILITY_CHECK
delivery late agiduchu,COMPLAINT
yesterday beans was not good,COMPLAINT
hand wash price how much,PRICE_ENQUIRY
rice quality illai bro,COMPLAINT
grapes rate enna,PRICE_ENQUIRY
i need thuvaram paruppu and cardamom,MULTIPLE_ITEMS
do you keep beetroot,AVAILABILITY_CHECK
black gram cost enna da,PRICE_ENQUIRY
shop open ah,OUT_OF_SCOPE
hi?,GREETING
cumin also sona masoori also iruka,MULTIPLE_ITEMS
how much is cheese,PRICE_ENQUIRY
okay,THANKS
what does shakkar cost,PRICE_ENQUIRY
cream available na sollunga,AVAILABILITY_CHECK
any cloves left,AVAILABILITY_CHECK
anna 2packets coconut oil venam,BULK_ORDER
oneon irukka,AVAILABILITY_CHECK
do you hav watermelon,AVAILABILITY_CHECK
tomato evlo,PRICE_ENQUIRY
sunflower oil vilai sollu,PRICE_ENQUIRY
onion quality illai,COMPLAINT
got any ghee,AVAILABILITY_CHECK
salt evvalavu,PRICE_ENQUIRY
shampoo avilable,AVAILABILITY_CHECK
good morning?,GREETING
what are your working hours,OUT_OF_SCOPE
mutta and fenugreek available ah,MULTIPLE_ITEMS
do you have mixture and pepper,MULTIPLE_ITEMS
kurkure rate enna,PRICE_ENQUIRY
what is pasta price,PRICE_ENQUIRY
hello there?,GREETING
pepper evlo,PRICE_ENQUIRY
how much does kurkure cost,PRICE_ENQUIRY
any namkeen avalaible,AVAILABILITY_CHECK
tea vangalam,AVAILABILITY_CHECK
milk price enna bro,PRICE_ENQUIRY
iz cumin avaliable,AVAILABILITY_CHECK
drumstick available pa,AVAILABILITY_CHECK
do you have cheese,AVAILABILITY_CHECK
any mutta left,AVAILABILITY_CHECK
1litre nalla ennai pack panningla,BULK_ORDER
arisi kasta iruku,COMPLAINT
gd evng!,GREETING
do you carry lizol,AVAILABILITY_CHECK
brinjal available,AVAILABILITY_CHECK
1dozen jeera vennum,BULK_ORDER
wat is cost of tide,PRICE_ENQUIRY
toothpaste prise,PRICE_ENQUIRY
namaste,GREETING
noodles price enna bro,PRICE_ENQUIRY
hey!,GREETING
elachi irukka pa,AVAILABILITY_CHECK
rice stock ah,AVAILABILITY_CHECK
sup?,GREETING
milk irukka pa,AVAILABILITY_CHECK
vermicelli evlo aagum,PRICE_ENQUIRY
cauliflower stock iruka bro,AVAILABILITY_CHECK
noodles tharuveenga,AVAILABILITY_CHECK
tamarind avilable,AVAILABILITY_CHECK
tea powder evlo,PRICE_ENQUIRY
haai!,GREETING
do you keep ponni rice,AVAILABILITY_CHECK
5kg wheat kavanum,BULK_ORDER
vengayam vangalam,AVAILABILITY_CHECK
paneer availabel,AVAILABILITY_CHECK
do you keep orange,AVAILABILITY_CHECK
anna ghee rate enna,PRICE_ENQUIRY
maggi irukkuma sir,AVAILABILITY_CHECK
i need 6pieces of ghee,BULK_ORDER
lays cost enna da,PRICE_ENQUIRY
is ladies finger available,AVAILABILITY_CHECK
brinjel avum coconut avum iruka,MULTIPLE_ITEMS
home delivery available,OUT_OF_SCOPE
semolina eppadi iruku price,PRICE_ENQUIRY
plantain irukkuma sir,AVAILABILITY_CHECK
hello there,GREETING
coriander evvalavu,PRICE_ENQUIRY
give me 2litre kothamalli,BULK_ORDER
romba thanks sir,THANKS
boiled rice stock iruka bro,AVAILABILITY_CHECK
price of arisi,PRICE_ENQUIRY
buttermilk kidaikkuma,AVAILABILITY_CHECK
ok seri,THANKS
what is the price of mixture,PRICE_ENQUIRY
do you accept upi?,OUT_OF_SCOPE
open sunday?,OUT_OF_SCOPE
paal prise,PRICE_ENQUIRY
quality is going down,COMPLAINT
arisi price enna,PRICE_ENQUIRY
do u have onion,AVAILABILITY_CHECK
can i get banana,AVAILABILITY_CHECK
manjal cost enna,PRICE_ENQUIRY
toothpaste price how much,PRICE_ENQUIRY
i need green chilli and maida,MULTIPLE_ITEMS
is raw rice available,AVAILABILITY_CHECK
do u have cumin,AVAILABILITY_CHECK
gd morning!,GREETING
ok thnks,THANKS
what is the rate of arisi,PRICE_ENQUIRY
kirambu irukkuma sir,AVAILABILITY_CHECK
bro dettol evlo,PRICE_ENQUIRY
halfkg tide tharuveenga,BULK_ORDER
iz murungakkai avaliable,AVAILABILITY_CHECK
cumin price,PRICE_ENQUIRY
late agiduchu,COMPLAINT
toor dal kidaikuma,AVAILABILITY_CHECK
egss iruka,AVAILABILITY_CHECK
sup!,GREETING
phonepay ok?,OUT_OF_SCOPE
tometo iruka,AVAILABILITY_CHECK
sambar powder vangalam,AVAILABILITY_CHECK
nalla ennai 1litre kudungal,BULK_ORDER
wat is arisi rate,PRICE_ENQUIRY
sona masoori cost enna,PRICE_ENQUIRY
manjal vilai sollu,PRICE_ENQUIRY
anna drumstick rate enna,PRICE_ENQUIRY
do you sell garam masala and onion,MULTIPLE_ITEMS
is there kirambu,AVAILABILITY_CHECK
cardamom price how much,PRICE_ENQUIRY
any black gram left,AVAILABILITY_CHECK
moong dal price sollu pa,PRICE_ENQUIRY
both noodles and jeera iruka,MULTIPLE_ITEMS
butter kidaikkuma,AVAILABILITY_CHECK
semolina cost enna,PRICE_ENQUIRY
do u hav pasta,AVAILABILITY_CHECK
hand wash cost,PRICE_ENQUIRY
pazham kidaikuma,AVAILABILITY_CHECK
how much watermelon price ah,PRICE_ENQUIRY
gpay panalam,OUT_OF_SCOPE
coffee price sollu pa,PRICE_ENQUIRY
have you got groundnut oil,AVAILABILITY_CHECK
olive oil iruka,AVAILABILITY_CHECK
is there lizol,AVAILABILITY_CHECK
lays proce,PRICE_ENQUIRY
anna 1litre rajma venam,BULK_ORDER
1dozen tea powder kavanum,BULK_ORDER
sambar powder prce,PRICE_ENQUIRY
bro 1kg coffee vennum,BULK_ORDER
pric of mustard,PRICE_ENQUIRY
gingelly oil vilai sollu,PRICE_ENQUIRY
shop timing?,OUT_OF_SCOPE
noodles in stock,AVAILABILITY_CHECK
bro coconut iruka,AVAILABILITY_CHECK
5kg noodles venum,BULK_ORDER
directions to shop?,OUT_OF_SCOPE
detergent evvalavu,PRICE_ENQUIRY
heloo,GREETING
sona masoori vilai sollu,PRICE_ENQUIRY
cheese in stock,AVAILABILITY_CHECK
mixture irukkanga,AVAILABILITY_CHECK
do you have detergent ah,AVAILABILITY_CHECK
what is your address,OUT_OF_SCOPE
dettol avilable,AVAILABILITY_CHECK
wat is cost of jaggery,PRICE_ENQUIRY
salt avum washing powder avum iruka,MULTIPLE_ITEMS
anna egg rate enna,PRICE_ENQUIRY
spinach and cloves stock iruka,MULTIPLE_ITEMS
neram aachu delivery illai,COMPLAINT
helo there!,GREETING
good afternoon?,GREETING
minimum order for delivery?,OUT_OF_SCOPE
do you have guava and coconut oil both,MULTIPLE_ITEMS
what is the rate of butter,PRICE_ENQUIRY
contact number?,OUT_OF_SCOPE
hi sir!,GREETING
book 6pieces kurkure for me,BULK_ORDER
rate of coffee,PRICE_ENQUIRY
do you have boiled rice,AVAILABILITY_CHECK
cost of beetroot,PRICE_ENQUIRY
chilli powder stock availble,AVAILABILITY_CHECK
how old is your shop,OUT_OF_SCOPE
idli rice cost,PRICE_ENQUIRY
tomato mosam agiduchu,COMPLAINT
namkeen irukkanga,AVAILABILITY_CHECK
pric of tamato,PRICE_ENQUIRY
phonepay ok,OUT_OF_SCOPE
what is your phone number,OUT_OF_SCOPE
pepper stock availble,AVAILABILITY_CHECK
pasta kidaikuma,AVAILABILITY_CHECK
oil was rancid,COMPLAINT
gd evng,GREETING
do you carry rava,AVAILABILITY_CHECK
is puli available,AVAILABILITY_CHECK
nandri sir,THANKS
sugar evvalavu,PRICE_ENQUIRY
surf excel price sollunga sir,PRICE_ENQUIRY
milk and brea iruka,MULTIPLE_ITEMS
do you deliver,OUT_OF_SCOPE
2 litr milk tharuveenga,BULK_ORDER
yesterday onion was not good,COMPLAINT
shop address sollu,OUT_OF_SCOPE
thank u,THANKS
how much does mustard cost,PRICE_ENQUIRY
do u have soap,AVAILABILITY_CHECK
please give fresh items,COMPLAINT
maida also potato also iruka,MULTIPLE_ITEMS
wht is prise of paneer,PRICE_ENQUIRY
credit card accepted,OUT_OF_SCOPE
puli iruka,AVAILABILITY_CHECK
biscuit and orange iruka,MULTIPLE_ITEMS
ponni rice availabel,AVAILABILITY_CHECK
plantain price please,PRICE_ENQUIRY
pomegranate price enna,PRICE_ENQUIRY
order 250g pazham,BULK_ORDER
urad dal irukka,AVAILABILITY_CHECK
methi kidaikkuma,AVAILABILITY_CHECK
do you keep detergent,AVAILABILITY_CHECK
paal nalla illai,COMPLAINT
hi da,GREETING
shakkar stock ah,AVAILABILITY_CHECK
helo!,GREETING
vermicelli cost,PRICE_ENQUIRY
jeera in stock,AVAILABILITY_CHECK
can i get tea,AVAILABILITY_CHECK
bro coconut oil evlo,PRICE_ENQUIRY
rasam powder price sollunga sir,PRICE_ENQUIRY
tamoto stock ah,AVAILABILITY_CHECK
potato available,AVAILABILITY_CHECK
helo?,GREETING
bread pasi agiduchu,COMPLAINT
wht is prise of maggi,PRICE_ENQUIRY
rajma rate,PRICE_ENQUIRY
order 6pieces semolina,BULK_ORDER
how much is hand wash,PRICE_ENQUIRY
tell me the price of kathirikkai,PRICE_ENQUIRY
anna oats rate enna,PRICE_ENQUIRY
can i get coconut oil,AVAILABILITY_CHECK
2litre wheat pack panningla,BULK_ORDER
surf excel irukka,AVAILABILITY_CHECK
lays rate,PRICE_ENQUIRY
thank you,THANKS
phone number sollu?,OUT_OF_SCOPE
hi sir?,GREETING
tamarind kidaikkuma,AVAILABILITY_CHECK
hw much is pepper,PRICE_ENQUIRY
tomato vilai enna,PRICE_ENQUIRY
pepper vilai enna,PRICE_ENQUIRY
tomato rotten agiduchu anna,COMPLAINT
whatsapp number?,OUT_OF_SCOPE
papaya also ponni rice also iruka,MULTIPLE_ITEMS
moong dal and cream iruka,MULTIPLE_ITEMS
order 2litre wheat,BULK_ORDER
mustard irukkanga,AVAILABILITY_CHECK
wat is cost of chana dal,PRICE_ENQUIRY
tea powder cost enna da,PRICE_ENQUIRY
do you have detergent and paneer,MULTIPLE_ITEMS
coriander kidaikuma,AVAILABILITY_CHECK
vengayam proce,PRICE_ENQUIRY
who is the owner?,OUT_OF_SCOPE
kathirikkai available pa,AVAILABILITY_CHECK
paal kedaichiruku,COMPLAINT
got any paal,AVAILABILITY_CHECK
what is your address?,OUT_OF_SCOPE
have you got beans,AVAILABILITY_CHECK
bro 12pieces mustard vennum,BULK_ORDER
sunflower oil in stock,AVAILABILITY_CHECK
watermelon and thenga iruka,MULTIPLE_ITEMS
hey there!,GREETING
do u have coconut,AVAILABILITY_CHECK
do you have maida,AVAILABILITY_CHECK
namkeen stock iruka,AVAILABILITY_CHECK
order 500ml grapes,BULK_ORDER
spinach kittaya,AVAILABILITY_CHECK
chips evlo,PRICE_ENQUIRY
tomato rate sollunga,PRICE_ENQUIRY
is urulaikizhangu in stock,AVAILABILITY_CHECK
urad dal stock ah,AVAILABILITY_CHECK
garam masala and chips available ah,MULTIPLE_ITEMS
ghee stock iruka,AVAILABILITY_CHECK
coconut kidaikkuma,AVAILABILITY_CHECK
do u hav fenugreek,AVAILABILITY_CHECK
tea powder price please,PRICE_ENQUIRY
wat is kothamalli rate,PRICE_ENQUIRY
eppo open aagum?,OUT_OF_SCOPE
how much does vim cost,PRICE_ENQUIRY
price of manjal,PRICE_ENQUIRY
atta price sollunga sir,PRICE_ENQUIRY
cornflakes cost enna da,PRICE_ENQUIRY
rice cost,PRICE_ENQUIRY
toothpaste available na sollunga,AVAILABILITY_CHECK
howdy!,GREETING
drumstick irukkuma,AVAILABILITY_CHECK
good morning!,GREETING
chilli powder and raw banana stock iruka,MULTIPLE_ITEMS
gd evng?,GREETING
drumstick and bread available ah,MULTIPLE_ITEMS
home delivery pannuveenga?,OUT_OF_SCOPE
groundnut oil irukkanga,AVAILABILITY_CHECK
i need 2kg of beetroot,BULK_ORDER
what is puli price,PRICE_ENQUIRY
sona masoori evlo aagum,PRICE_ENQUIRY
last time brinjel was not fresh,COMPLAINT
ladies finger prce,PRICE_ENQUIRY
detergent vangalam,AVAILABILITY_CHECK
pazham stock availble,AVAILABILITY_CHECK
cumin evlo,PRICE_ENQUIRY
credit card accepted?,OUT_OF_SCOPE
hw much is sunflower oil,PRICE_ENQUIRY
anna watermelon rate enna,PRICE_ENQUIRY
iz urulaikizhangu avaliable,AVAILABILITY_CHECK
elachi vachu irukenga,AVAILABILITY_CHECK
rajma availabel,AVAILABILITY_CHECK
i want 2kg onion,BULK_ORDER
vengayam stock availble,AVAILABILITY_CHECK
toothpaste also apple also iruka,MULTIPLE_ITEMS
pric of potato,PRICE_ENQUIRY
surf excel stock there,AVAILABILITY_CHECK
pric of cumin,PRICE_ENQUIRY
kothamalli eppadi iruku price,PRICE_ENQUIRY
yo?,GREETING
salt stock iruka,AVAILABILITY_CHECK
got any mango,AVAILABILITY_CHECK
give me 2packets atta,BULK_ORDER
bro pazham evlo,PRICE_ENQUIRY
do you have watermelon,AVAILABILITY_CHECK
anna groundnut oil iruka,AVAILABILITY_CHECK
gud morning,GREETING
anna 6pieces orange venam,BULK_ORDER
suger vilai enna,PRICE_ENQUIRY
can you give 5kg grapes,BULK_ORDER
coconut oil price sollu pa,PRICE_ENQUIRY
potato irukkanga,AVAILABILITY_CHECK
1litre manjal venum,BULK_ORDER
how much is rava,PRICE_ENQUIRY
250g grapes vennum,BULK_ORDER
drumstick prce,PRICE_ENQUIRY
do you have plantain,AVAILABILITY_CHECK
how to reach your shop?,OUT_OF_SCOPE
bro rava iruka,AVAILABILITY_CHECK
the potato i bought was spoiled,COMPLAINT
guava rate sollunga,PRICE_ENQUIRY
tometo and onioin iruka,MULTIPLE_ITEMS
miilk iruka,AVAILABILITY_CHECK
do you sell drumstick and surf excel,MULTIPLE_ITEMS
guava kittaya,AVAILABILITY_CHECK
is puli in stock,AVAILABILITY_CHECK
butter prise,PRICE_ENQUIRY
call pannum number,OUT_OF_SCOPE
vanakam sir!,GREETING
namaste?,GREETING
iz okra avaliable,AVAILABILITY_CHECK
thankz,THANKS
bro bread iruka,AVAILABILITY_CHECK
brinjel available na sollunga,AVAILABILITY_CHECK
methi stock iruka,AVAILABILITY_CHECK
can i get milagai,AVAILABILITY_CHECK
mango iruka,AVAILABILITY_CHECK
order 2packets manjal,BULK_ORDER
1packet fenugreek venum,BULK_ORDER
curd available ah,AVAILABILITY_CHECK
oats and coconut oil available ah,MULTIPLE_ITEMS
yo,GREETING
vanakkam bro!,GREETING
last time urulaikizhangu quality was poor,COMPLAINT
turmeric prce,PRICE_ENQUIRY
how mch for methi,PRICE_ENQUIRY
whn do u open,OUT_OF_SCOPE
soap prce,PRICE_ENQUIRY
butter stock iruka bro,AVAILABILITY_CHECK
home delivery available?,OUT_OF_SCOPE
good morning sir,GREETING
5kg maida vennum,BULK_ORDER
what is manga price,PRICE_ENQUIRY
what is rate of detergent ah,PRICE_ENQUIRY
what is kirambu price,PRICE_ENQUIRY
iz pasta avaliable,AVAILABILITY_CHECK
namkeen price enna,PRICE_ENQUIRY
hi da?,GREETING
what is rate of manga ah,PRICE_ENQUIRY
thnk u,THANKS
what is the rate of cloves,PRICE_ENQUIRY
shampoo stock there,AVAILABILITY_CHECK
sona masoori price sollunga sir,PRICE_ENQUIRY
how much does detergent cost,PRICE_ENQUIRY
groundnut oil evvalavu,PRICE_ENQUIRY
vanakam,GREETING
delivery time,OUT_OF_SCOPE
anna green chilli iruka,AVAILABILITY_CHECK
5 kh rice vennum,BULK_ORDER
toothpaste and buttermilk available ah,MULTIPLE_ITEMS
rava stock ah,AVAILABILITY_CHECK
do you hav shakkar,AVAILABILITY_CHECK
kurkure price enna,PRICE_ENQUIRY
how much for urulaikizhangu,PRICE_ENQUIRY
greetings!,GREETING
hai?,GREETING
anna raw rice iruka,AVAILABILITY_CHECK
helo there,GREETING
how to reach your shop,OUT_OF_SCOPE
curd avialble,AVAILABILITY_CHECK
do u hav brinajl,AVAILABILITY_CHECK
pepper irukkuma,AVAILABILITY_CHECK
helllo,GREETING
any gingelly oil avalaible,AVAILABILITY_CHECK
bread vilai sollu,PRICE_ENQUIRY
what is the rate of fenugreek,PRICE_ENQUIRY
do you carry thayir,AVAILABILITY_CHECK
paal availabel,AVAILABILITY_CHECK
rate of olive oil,PRICE_ENQUIRY
what's up?,GREETING
coconut rate sollunga,PRICE_ENQUIRY
any moru avalaible,AVAILABILITY_CHECK
vanakkam!,GREETING
thayir kidaikkuma,AVAILABILITY_CHECK
i need semolina and lays,MULTIPLE_ITEMS
delivery cost,OUT_OF_SCOPE
do you carry ghee,AVAILABILITY_CHECK
fenugreek prce,PRICE_ENQUIRY
hey?,GREETING
whats up,GREETING
paal irukka,AVAILABILITY_CHECK
vanakam!,GREETING
guava iruka,AVAILABILITY_CHECK
riice had stnes,COMPLAINT
how much thenga price ah,PRICE_ENQUIRY
tell me the price of egg,PRICE_ENQUIRY
turmeric available na sollunga,AVAILABILITY_CHECK
brinjal prise enna,PRICE_ENQUIRY
hi,GREETING
bread was stale,COMPLAINT
bro murungakkai iruka,AVAILABILITY_CHECK
is noodles available,AVAILABILITY_CHECK
atta rate enna,PRICE_ENQUIRY
shop open ah?,OUT_OF_SCOPE
how much does pazham cost,PRICE_ENQUIRY
super thanks bro,THANKS
mlk was bad,COMPLAINT
beetroot price,PRICE_ENQUIRY
riice price enna,PRICE_ENQUIRY
lizol available,AVAILABILITY_CHECK
10kg thenga tharuveenga,BULK_ORDER
wht is prise of lizol,PRICE_ENQUIRY
tell me the price of garam masala,PRICE_ENQUIRY
coriander iruka,AVAILABILITY_CHECK
bread in stock,AVAILABILITY_CHECK
have you got butter,AVAILABILITY_CHECK
rice quality poor,COMPLAINT
is urad dal availabl,AVAILABILITY_CHECK
both brinjel and pattai iruka,MULTIPLE_ITEMS
thayir irukka pa,AVAILABILITY_CHECK
vengayam available ah,AVAILABILITY_CHECK
shakkar price please,PRICE_ENQUIRY
wat is cost of elachi,PRICE_ENQUIRY
cinnamon evlo,PRICE_ENQUIRY
cabbage available,AVAILABILITY_CHECK
gingelly oil stock iruka,AVAILABILITY_CHECK
